uimavesini,leva,nako,lampo
Kiimajärvi,7418,3475,1685
Takajärvi,49434,3157,1674
Honkalahti,23014,3062,1660
Laaksolahti,678,3313,1674
Lippajärvi,2761,3313,1674
Luukinjärvi,678,3313,1674
Oittaa,2761,3313,1674
Kylpyläsaari,27748,3157,1705
Pieni Vatjusjärvi,27748,3157,1672
Hammasniemen leirikeskus,27748,3157,1672
Järvenkylä,8815,3479,1694
Pitkähiekka,15318,3062,1661
Kermanranta,14443,3062,1664
Vihkosaari,28685,3157,1705
Kaupunginu uimaranta,18261,3063,1672
Urajärvi,83071,3063,1673
Toivolansaari,8815,3480,1694
Rantasipi Ikaalinen,8815,3480,1694
Toivolansaaren leirintäalue,8815,3480,1694
Tuomistonlahti,8815,3480,1694
Saharanta,47132,3062,1660
Ukonlinna,80886,3062,1667
"Tervanokka, Tuusulanjärvi",842,3157,1674
Honkaniemi,23808,3062,1660
Vehkalahti,22270,3062,1660
Linnunlahti,22270,3062,1660
Kolppa,13939,3062,1661
Jukajärven uimala,13185,3062,1664
Liuttu,9261,3455,1694
Vesaniemi,9261,3455,1694
Puujärvi,1164,3455,1694
Pyhäniemi,4509,3480,1694
Lamminjärvi,46899,3313,1694
Storträsk Evitskog,1024,3455,1694
"Tampaja, Haapajärvi",2733,3311,1694
Lossi,25213,3157,1672
Kovala,25448,3157,1672
Kotakennäänsalmi,25213,3157,1673
Kellonkannas,25213,3157,1672
Supan ranta,7418,3475,1685
Kalmari,2100,3157,1674
Kuotaa,2100,3157,1674
Pirppulanranta,2100,3157,1674
Korsklobbsrevet,59496,3842,1685
Kärringsund,59496,3842,1685
Degersand,59496,3842,1685
Sorvalampi,678,3313,1674
Haukilahti,2761,3313,1674
Kivenlahti,2761,3313,1674
Klobben,2761,3313,1674
"Myllyjärvi, pohj.",678,3313,1674
Toppelund,2761,3313,1674
Matinkylä,2761,3313,1674
Hanikka,2761,3313,1674
Tyrskyvuori,2761,3313,1674
Kiperi,6396,3842,1685
Lahdenperä,6784,3842,1685
Bambölevik,59496,3842,1685
Godby,59496,3842,1685
Sinting,59496,3842,1685
Linikkalan lammi,2410,3455,1694
Knutnäs,59496,3842,1685
Kokkila,43524,3480,1685
Märynummi,83074,3480,1685
"Aulangonjärvi, Kihtersuo",2232,3313,1694
Ahvenistonjärvi,1722,3313,1694
"Vanajavesi, uimahallin ranta",2232,3313,1694
"Alajärvi, Tervaniemi",1722,3313,1694
Pitkät hiekat,57576,3062,1667
Marsunds badplats,59496,3842,1685
Kattnäs camping,59496,3842,1685
Bovik,59496,3842,1685
Märsan,43524,3476,1685
Plagen,43524,3476,1685
Silversand,43524,3480,1685
Bellevue,43524,3480,1685
Kultakoukku,6521,3842,1685
Herniäinen,1722,3313,1694
Pappilanaro,9575,3313,1674
Kylpylä,14538,3063,1673
Aurinkolahti,842,3312,1674
Mustikkamaa,842,3313,1674
Hietaranta,842,3313,1674
Kallahdenniemi,842,3312,1674
Marjaniemi,842,3313,1674
Pihlajasaari,2761,3313,1674
Malmi,842,3313,1674
Iso Kallahti,842,3312,1674
Rastila,842,3312,1674
Vartiokylä,842,3312,1674
Laajasalo,842,3313,1674
Lauttasaari,2761,3313,1674
Pikkukoski,842,3313,1674
Munkkiniemi,2761,3313,1674
Tuorinniemi,842,3313,1674
Vähä-Tiilijärvi,2100,3157,1674
Messilä,2100,3157,1674
Kotomäki,2100,3157,1674
Hahmajärvi,2100,3157,1674
Usminjärvi,44054,3313,1674
Björkudden,49221,3455,1694
Kangasjärvi,4161,3842,1685
Saarijärvi,4509,3480,1694
Lamminjärvi,4534,3475,1694
Särkijärvi,24804,3157,1674
Rasua,25756,3157,1674
Varpainen,25756,3157,1674
Liinalampi,2229,3313,1674
Puuhamaa,2182,3313,1674
Ilosaari,22270,3062,1660
Säläisjärvi,4619,3842,1685
Sääksjärvi,25000,3157,1673
Köhniö,25000,3157,1674
Lohikoski,25004,3157,1673
Tuomiojärvi,25004,3157,1673
Tikka Päijänne,25004,3157,1673
Uimalanniemi,25004,3063,1673
Kirri,25004,3157,1673
Liikuntakeskus,25004,3157,1673
Myllylampi,25031,3157,1674
Hovirinta,6949,3842,1685
Kesäniemi,31470,3063,1699
Paltaniemi,31470,3063,1700
Leirintäalue,26825,3157,1696
Letto,26825,3157,1696
Pitkäjärvi,26825,3157,1696
Svedja,83073,3478,1694
Mariestrand,5399,3842,1685
Nummijärvi,4619,3842,1685
Takajärvi,30122,3157,1709
Mansikkanokka,30122,3157,1709
Pöyliönjärvi,83103,3063,1705
Kalliomonttu,30626,3157,1705
Ruokkeen lomakylä,22065,3062,1660
Karjalan kievari,22058,3062,1660
Mäntyranta,22065,3062,1660
Karjalan lomakeskus,59606,3062,1660
Hotelli Keurusselkä,26169,3157,1687
Nyyssänniemi,26169,3157,1687
Aitolahti,4509,3478,1694
Härjänvatsa,1639,3455,1694
Syväjärvi,2733,3311,1674
Långvik,2761,3311,1674
Postinranta,22002,3062,1660
Valkealampi,22270,3062,1660
Vierevänniemi,23808,3062,1660
Onkilampi,22270,3062,1660
Käyrälampi,12808,3062,1673
Kirveslahti,16643,3062,1661
Niuva,17473,3063,1661
Matkailukeskus Rauhalahti,17473,3062,1661
Väinölänniemi,42540,3062,1661
Sompanen,14538,3063,1673
Sammonlahti,13021,3062,1667
Myllysaari,13021,3062,1667
Lempoisten uimala,1812,3455,1694
Leppävirran uimaranta,16514,3062,1661
Timitranniemi,23257,3062,1660
Kuoringan uimaranta,22196,3062,1660
Liessaari,1196,3455,1694
Moisio,1196,3455,1694
Aurlahti,1196,3455,1694
Haikari,1196,3455,1694
Paloniemi,1196,3455,1694
Lasitehdas,1196,3455,1694
Pitkäjärvi,64179,3062,1667
Kennonnokka,58356,3455,1694
Hyvärilä,23566,3062,1658
Satama,23566,3062,1658
"Tiira, Valkjärvi",719,3313,1674
Röykkä,719,3313,1674
Sääksjärvi,44054,3313,1674
Tuira,30626,3157,1705
Papinjärvi,30626,3157,1705
Särkiselkä,22621,3062,1664
Kolmikannan leirikeskus,22621,3062,1664
Pakanranta,7833,3455,1694
Kirkkojärvi,9830,3480,1694
"Poikkeusjärvi, leirikeskus",4509,3480,1694
Hiekanpää,14694,3063,1661
Turri,58356,3455,1694
Reippi,58356,3455,1694
Loukonlahti lastenranta,1812,3455,1694
Hasselholmen,361,3157,1674
Pohjoisranta,28602,3063,1700
Kultakiven lomakylä,13807,3062,1664
Punkaharjun keskustan uimala,13807,3062,1664
Punkaharjun lomakeskus,13828,3062,1664
Emolahti,27358,3063,1672
Reijola,22270,3062,1660
Paksuniemi,22255,3062,1660
Kirkonkylä,9518,3455,1687
Olkkola,12954,3062,1667
Heikinpohja,14037,3062,1664
Karkulahti,13828,3062,1664
Koulukatu,14037,3062,1664
Vuohimäki,14037,3062,1664
Siilinlahden rantauimala,17557,3063,1661
Laajalahti,26663,3480,1696
Öja,26663,3480,1696
Lahdenperä,26663,3480,1696
Vanhansatamanlahti,26663,3480,1696
Aittolampi,22772,3062,1660
Molpe,5440,3842,1685
Äijänniemi,12808,3062,1667
Tampsan monttu,12808,3062,1673
Santalahti,12386,3062,1673
Sandbanken,66427,3842,1685
Uimala Kuhmoinen,24804,3157,1674
Pitkämö,4619,3842,1696
Nummijärvi,83074,3478,1694
Mukkulan kartanonpuisto,83066,3157,1674
Mytäjäinen,83066,3157,1674
Likolampi,83066,3157,1674
Merrasjärvi,83066,3157,1674
Möysä,83066,3157,1674
Herrasmanni,83066,3157,1674
"Pääjärvi, Juottimen ranta",2100,3157,1674
